TOKEN;TEXT;CONTROL
51844;4;null
76870675;$BID;null
467267038;action;null
978938834;finished;null
-296790562;optimal;null
-857017479;ongoing;null
459640818;classify;null
2049589170;game;null
55832;8;null
2078537464;won;null
866843318;<EOL>;EOL
97533519;by;null
50847;3;null
-1497222301;classified;null
-902926324;get;null
908013885;compute;null
97513579;be;null
500757245;$PLAYER;null
1066346409;$PID;null
-1884015201;for;null
-1405604077;should;null
1650787786;<CALL>;CALL
1058455334;$GAME;null
1384512055;<STORE>;STORE
54835;7;null
-1085390469;next;null
-969606141;$MOVE;null
667638770;best;null
49850;2;null
1369558172;board;null
21527695;move;null
872807372;<EOR>;EOR
174350889;repeat;null
53838;6;null
-1375055803;<EMPTY>;EMPTY
1334072278;prompt;null
48853;1;null
96533528;as;null
104485600;is;null
-527413044;what;null
1016382793;plays;null
-1817133330;into;null
-1027769379;determine;null
-901510491;the;null
52841;5;null
263427010;search;null
626954153;choose;null
-292439703;player;null
-210985833;evaluate;null
56829;9;null
