TOKENID;TEXT;CONTROL
-1157684993;then;null
203558947;merchant1;null
1898211622;kitten3;null
-1329786690;happy0;null
-1430485063;tower0;null
-1789147300;wizard3;null
1210841379;cat3;null
-138496586;stone1;null
397095331;scared1;null
1211566654;puppy4;null
-1896161290;dog0;null
1257024483;curious1;null
727552588;guard1;null
1257023486;curious0;null
-730717600;runs0;null
224055631;feels;null
397094334;scared0;null
1210840382;cat2;null
-1789146303;wizard4;null
265141206;searches0;null
866843318;<EOL>;EOL
203557950;merchant0;null
-1329785693;happy1;null
-47207632;sees;null
-1599261043;carol;null
-1896160293;dog1;null
-1430484066;tower1;null
1210842376;cat4;null
397096328;scared2;null
-1098386269;forest4;null
1257025480;curious2;null
-138495589;stone2;null
665393548;child0;null
203559944;merchant2;null
1648047889;angry0;null
-1789148297;wizard2;null
-644451400;food4;null
1898212619;kitten4;null
-31063786;rope0;null
-1131643204;lantern4;null
-1940116369;cave4;null
-1329784696;happy2;null
-1807942133;jumps0;null
-730716603;runs1;null
-1098387266;forest3;null
727551591;guard0;null
-1896159296;dog2;null
-138494592;stone3;null
-1430483069;tower2;null
-267673270;alice;null
1257026477;curious3;null
1211564660;puppy2;null
-644452397;food3;null
265144197;searches3;null
727554582;guard3;null
-1529855075;river1;null
-1375055803;<EMPTY>;EMPTY
-1529854078;river2;null
1898208631;kitten0;null
-730715606;runs2;null
-1131644201;lantern3;null
721782361;hides4;null
104480615;in;null
-1098388263;forest2;null
1210838388;cat0;null
-1896158299;dog3;null
1424293248;dave;null
1898210625;kitten2;null
-1529856072;river0;null
727553585;guard2;null
265143200;searches2;null
1211565657;puppy3;null
-138497583;stone0;null
-1896157302;dog4;null
311042811;finally;null
721781364;hides3;null
1210839385;cat1;null
-1098389260;forest1;null
1075119456;first;null
265142203;searches1;null
1898209628;kitten1;null
-644453394;food2;null
-730714609;runs3;null
1257027474;curious4;null
-1131645198;lantern2;null
-1131646195;lantern1;null
-730713612;runs4;null
-1807939142;jumps3;null
-1940120357;cave0;null
-1098390257;forest0;null
665397536;child4;null
482488136;with;null
721780367;hides2;null
-31059798;rope4;null
665396539;child3;null
-1742691406;please;null
-1940119360;cave1;null
1211562666;puppy0;null
-1529852084;river4;null
1648051877;angry4;null
-644454391;food1;null
-1807938145;jumps4;null
-1131647192;lantern0;null
727555579;guard4;null
265145194;searches4;null
721779370;hides1;null
873801381;<EOS>;EOS
-644455388;food0;null
-1553171749;bob;null
-1529853081;river3;null
1211563663;puppy1;null
-392272857;write;null
-712711621;about;null
721778373;hides0;null
96709;a;null
397097325;scared3;null
-31061792;rope2;null
-1789149294;wizard1;null
-1807941136;jumps1;null
1648048886;angry1;null
203560941;merchant3;null
-1329783699;happy3;null
-1430482072;tower3;null
-1778429142;meets;null
-1940117366;cave3;null
665394545;child1;null
374335637;story;null
104485600;is;null
-138493595;stone4;null
1426870224;eve;null
1016382793;plays;null
-31062789;rope1;null
1648049883;angry2;null
-31060795;rope3;null
-1807940139;jumps2;null
-1329782702;happy4;null
203561938;merchant4;null
-1430481075;tower4;null
-1789150291;wizard0;null
-1940118363;cave2;null
397098322;scared4;null
1648050880;angry3;null
171157453;tell;null
665395542;child2;null
